N,P,K,temperature,humidity,pH,rainfall,label,Plant_Category,EC (mS/cm) Range,Ca (ppm) Range,Mg (ppm) Range,Na (ppm) Range (Max)
58,34,42,18.1006,60.5567,7.5063,33.1599,Origanum majorana ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
56,40,57,23.7085,71.4758,7.6218,27.2026,Coriandrum sativum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
136,37,81,18.2818,68.8113,7.3104,19.4648,Cucurbita pepo ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
90,28,48,27.7032,66.6544,7.3479,48.6461,Mentha piperita ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
39,40,53,18.7403,53.3352,7.5331,36.7384,Raphanus sativus ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
90,23,30,20.3537,63.8867,8.1077,34.037,Hordeum vulgare ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
108,63,134,19.5361,66.1988,8.0388,48.3583,Beta vulgaris ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
50,45,79,13.9142,58.4377,8.101,47.0348,Raphanus sativus ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
80,62,119,20.5922,66.2886,7.4375,17.3738,Daucus carota ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
25,3,0,24.2475,39.2928,8.269,20.0744,Ziziphus spina-christi ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
102,59,113,20.4055,62.4473,7.5345,90.3179,Cucurbita moschata ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
98,37,41,25.5481,65.7674,6.503,46.3843,Linum usitatissimum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
30,58,75,11.5213,72.2676,8.2458,14.0092,Lens culinaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
61,20,60,16.291,58.8174,7.5612,36.1717,Raphanus sativus ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
96,53,126,9.3009,72.6762,5.8137,60.523,Fragaria × ananassa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
74,52,45,18.3243,63.4174,6.8115,22.7059,Coriandrum sativum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
154,34,46,28.758,69.094,7.2636,44.5817,Oryza sativa ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
11,47,60,15.0646,61.436,7.9395,4.901,Cicer arietinum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
108,40,89,22.2513,49.9862,7.1732,63.7606,Vitis vinifera ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
54,16,13,15.7753,63.8514,8.2984,60.2198,Origanum majorana ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
54,42,41,23.9912,58.1067,7.6031,46.8921,Ammi majus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
24,19,15,26.647,64.7164,6.6938,74.6313,Ficus carica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
107,72,98,31.1492,51.3885,8.5152,48.5062,Sorghum bicolor ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
111,27,43,34.9447,64.5087,5.7868,95.6256,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
49,17,25,17.3958,73.8346,6.4633,33.5455,Rosa gallica ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
6,20,37,19.0739,61.1616,6.8554,44.935,Citrus reticulata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
57,47,61,17.1103,60.7426,7.6525,19.0512,Foeniculum vulgare ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
98,56,132,23.8228,76.9338,5.2076,49.9029,Ipomoea batatas ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
153,55,119,18.606,77.0894,7.5384,72.8905,Brassica oleracea var. italica ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
